Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Thailand,2022,63.2,44.2,38.5,36.2,81.3,84.4,89.8,63.4,59.6,74.2,71.6,55.0,60.0
Thailand,2021,69.7,60.0,45.1,48.1,81.5,86.0,96.4,85.3,64.3,74.4,80.0,55.0,60.0
Thailand,2020,69.4,59.5,43.4,48.0,80.7,85.9,96.4,83.0,63.7,74.0,83.0,55.0,60.0
Thailand,2019,68.3,53.7,36.4,45.9,81.3,85.8,96.5,82.5,63.9,75.2,83.0,55.0,60.0
Thailand,2018,67.1,48.6,34.7,45.3,81.3,85.5,96.4,77.2,62.6,75.5,83.1,55.0,60.0
Thailand,2017,66.2,51.3,40.7,41.7,81.0,85.3,96.3,69.9,62.8,72.9,82.8,50.0,60.0
Thailand,2016,63.9,40.0,38.0,N/A,81.1,82.2,N/A,76.3,62.5,70.9,77.6,50.0,60.0
Thailand,2015,62.4,40.0,35.0,N/A,81.5,81.4,N/A,72.5,63.5,69.9,75.4,45.0,60.0
Thailand,2014,63.3,45.0,33.6,N/A,79.7,83.6,N/A,71.4,61.6,68.6,75.0,45.0,70.0
Thailand,2013,64.1,45.0,34.0,N/A,78.9,83.7,N/A,73.2,72.9,68.3,75.2,40.0,70.0
Thailand,2012,64.9,45.0,35.0,N/A,75.1,87.5,N/A,72.5,79.0,69.3,75.2,40.0,70.0
Thailand,2011,64.7,45.0,34.0,N/A,74.8,90.6,N/A,69.9,76.3,70.8,75.9,40.0,70.0
Thailand,2010,64.1,45.0,35.0,N/A,74.7,89.8,N/A,70.7,73.6,66.4,75.9,40.0,70.0
Thailand,2009,63.0,50.0,33.0,N/A,74.4,90.6,N/A,71.1,76.5,69.0,75.6,30.0,60.0
Thailand,2008,62.3,50.0,36.0,N/A,74.7,90.7,N/A,72.2,77.7,66.7,75.2,30.0,50.0
Thailand,2007,63.5,50.0,38.0,N/A,74.8,91.3,N/A,73.0,76.4,77.6,74.2,30.0,50.0
Thailand,2006,63.3,50.0,36.0,N/A,74.9,92.1,N/A,73.8,77.0,80.3,68.4,30.0,50.0
Thailand,2005,62.5,50.0,33.0,N/A,75.2,90.1,N/A,70.0,76.8,82.3,67.6,30.0,50.0
Thailand,2004,63.7,50.0,32.0,N/A,75.5,91.1,N/A,70.0,N/A,88.9,65.6,50.0,50.0
Thailand,2003,65.8,70.0,32.0,N/A,75.2,93.1,N/A,70.0,N/A,87.3,64.8,50.0,50.0
Thailand,2002,69.1,70.0,32.0,N/A,75.3,90.3,N/A,70.0,N/A,86.4,77.8,70.0,50.0
Thailand,2001,68.9,70.0,32.0,N/A,75.4,90.3,N/A,70.0,N/A,84.6,77.6,70.0,50.0
Thailand,2000,66.6,70.0,30.0,N/A,75.3,88.0,N/A,70.0,N/A,72.9,73.2,70.0,50.0
Thailand,1999,66.9,70.0,31.0,N/A,74.6,91.2,N/A,70.0,N/A,74.9,71.2,70.0,50.0
Thailand,1998,67.3,70.0,33.0,N/A,74.2,91.9,N/A,70.0,N/A,74.8,71.6,70.0,50.0
Thailand,1997,66.1,90.0,28.0,N/A,74.2,91.3,N/A,70.0,N/A,75.3,66.4,50.0,50.0
Thailand,1996,71.0,90.0,70.0,N/A,74.5,92.1,N/A,70.0,N/A,76.4,66.4,50.0,50.0
Thailand,1995,71.3,90.0,70.0,N/A,74.6,92.8,N/A,70.0,N/A,77.7,66.4,50.0,50.0
