Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2022,66.6,55.5,35.6,49.8,89.1,72.1,70.6,70.7,51.1,82.0,82.6,70.0,70.0
Algeria,2022,45.8,27.9,30.1,29.7,67.2,57.1,38.6,50.0,51.5,80.1,57.4,30.0,30.0
Angola,2022,52.6,39.8,20.6,25.3,86.6,86.4,80.0,37.6,53.9,61.2,70.0,30.0,40.0
Argentina,2022,50.1,35.1,45.1,57.9,73.3,53.0,16.8,55.1,51.0,37.9,60.6,55.0,60.0
Armenia,2022,65.3,50.4,50.8,33.1,86.9,78.9,75.5,64.9,47.2,77.5,73.6,75.0,70.0
Australia,2022,77.7,91.7,87.0,95.2,62.5,51.6,52.0,84.6,64.2,83.2,90.0,80.0,90.0
Austria,2022,73.8,98.4,82.9,94.6,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80.0,70.0
Azerbaijan,2022,61.6,53.6,28.6,15.9,87.7,62.7,99.1,64.6,55.9,74.5,66.6,70.0,60.0
Bahrain,2022,62.0,65.9,41.6,27.4,99.9,65.5,0.0,60.2,54.9,81.1,83.0,85.0,80.0
Bangladesh,2022,52.7,36.3,22.2,28.1,82.6,93.2,54.0,55.6,36.6,70.0,63.8,50.0,40.0
Barbados,2022,71.3,72.6,68.7,88.2,80.6,70.8,79.7,64.7,63.4,78.6,58.4,70.0,60.0
Belarus,2022,53.0,34.5,43.7,15.5,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30.0,20.0
Belgium,2022,69.6,92.5,83.6,91.2,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85.0,70.0
Belize,2022,56.6,34.7,38.1,70.2,77.0,64.1,37.6,54.0,59.9,82.5,55.6,55.0,50.0
Benin,2022,61.0,44.3,40.3,55.3,68.4,91.6,83.4,47.7,59.6,80.4,61.4,50.0,50.0
Bhutan,2022,59.3,67.2,73.5,60.9,82.4,71.6,72.4,62.9,57.2,72.7,40.8,20.0,30.0
Bolivia,2022,43.0,14.1,28.7,28.4,86.0,58.8,10.9,54.7,46.2,72.8,60.8,15.0,40.0
Bosnia and Herzegovina,2022,63.4,49.2,33.4,37.2,94.0,46.2,95.9,66.6,60.2,84.9,68.8,65.0,60.0
Botswana,2022,64.8,74.2,61.4,70.1,87.4,59.8,19.2,56.7,61.6,75.4,77.2,65.0,70.0
Brazil,2022,53.3,50.3,40.0,57.2,69.9,53.8,0.4,63.2,55.9,78.4,60.0,60.0,50.0
Brunei Darussalam,2022,64.8,67.0,61.1,51.6,90.8,68.1,20.0,72.4,75.0,72.3,84.6,65.0,50.0
Bulgaria,2022,71.0,77.3,45.6,61.1,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60.0,60.0
Burkina Faso,2022,58.3,47.0,41.4,36.3,81.8,82.3,66.1,41.9,61.6,75.6,61.0,65.0,40.0
Burma,2022,49.6,23.1,29.8,16.7,87.2,86.8,67.2,41.7,49.6,73.9,69.4,30.0,20.0
Burundi,2022,39.4,18.8,12.2,7.1,77.1,76.4,10.3,27.5,41.5,70.3,51.0,50.0,30.0
Cabo Verde,2022,66.7,66.1,60.9,77.4,77.5,68.1,48.3,59.8,52.4,84.4,66.0,80.0,60.0
Cambodia,2022,57.1,41.2,12.3,20.9,88.7,81.5,98.0,55.2,47.8,74.7,64.8,50.0,50.0
Cameroon,2022,52.9,39.1,19.9,10.9,74.7,90.1,78.7,60.4,46.4,79.9,55.2,30.0,50.0
Canada,2022,76.6,89.5,86.7,96.4,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80.0,80.0
Central African Republic,2022,45.7,7.1,18.3,12.3,65.3,88.1,95.2,26.5,39.5,75.3,46.2,45.0,30.0
Chad,2022,49.8,28.9,13.1,13.6,44.6,92.7,96.3,28.2,54.5,74.2,52.0,60.0,40.0
Chile,2022,74.4,73.0,71.4,91.4,72.4,78.1,75.3,76.2,58.0,79.4,78.0,70.0,70.0
China,2022,48.0,43.7,39.3,37.4,71.2,64.2,11.1,68.8,57.2,70.0,73.2,20.0,20.0
Colombia,2022,65.1,50.9,42.0,59.1,71.3,66.0,56.7,68.8,60.7,79.3,76.4,80.0,70.0
Comoros,2022,50.4,28.9,20.1,21.2,63.0,88.5,96.2,48.3,55.5,81.5,27.0,45.0,30.0
Costa Rica,2022,65.4,66.4,63.1,78.4,79.2,86.6,10.9,66.0,56.6,83.1,74.6,70.0,50.0
Côte d'Ivoire,2022,61.6,45.4,33.8,30.0,79.1,89.7,73.8,61.0,55.9,71.3,73.6,75.0,50.0
Croatia,2022,67.6,81.1,50.0,69.9,82.8,26.3,75.2,72.4,58.7,80.5,79.2,75.0,60.0
Cuba,2022,29.5,31.5,39.9,15.6,48.4,0.0,11.4,41.1,20.0,61.8,64.0,10.0,10.0
Cyprus,2022,72.9,85.6,62.9,90.9,80.3,44.3,71.2,74.9,66.4,83.9,79.2,75.0,60.0
Czech Republic,2022,74.4,88.8,59.6,81.8,78.9,44.7,93.2,80.6,56.5,79.0,79.2,70.0,80.0
